question,answer
حدد الجواب أو الأجوبة الصحيحة:,على إدارة السجن أو التوقيف تخصيص مكتب مستقل لعضو النيابة المختص لمتابعة أحوال المسجونين أو الموقوفين
إذا شرط محل للوفاء في السند التنفيذي، فيكون الاختصاص في دائرة التنفيذ:,في محل إقامة الدائن، بغض النظر عن اتفاق الطرفين
في حالة اشتراط محل للوفاء في السند التنفيذي، يمكن للطرفين الاتفاق على:,إسقاط حق أحد الطرفين في التنفيذ
يتم تسليم صورة صحيفة الدعوى داخل ظرف:,مفتوح
ترفق مع صورة صحيفة الدعوى المسلمة داخل الظرف المختوم:,أصل ورقة التبليغ
عند إدارة المضارب لرأس المال والتصرف فيه، يجب عليه مراعاة:,الأعراف السائدة في السوق بغض النظر عن عقد المضاربة
يكون إبلاغ أصحاب الأشياء المضبوطة بحقهم في استعادتها وفق:,الأحكام المنظمة للإبلاغ الواردة في النظام فقط
عند النظر في الاعتراضات، يمكن للجنة أن تستعين بـ:,المحامين فقط
في حالة عدم وجود نص خاص أو اتفاق بين الأطراف، يمكن الاستناد إلى:,القانون العام فقط
من يتحمل عبء إثبات وجود العرف التجاري أو العادة بين الأطراف؟,لا يلزم إثبات وجودهما
يجب ضبط كل ما يدلي به الخصوم شفهيًا:,بغض النظر عن رأي الدائرة في علاقته بالدعوى
تقوم الدائرة بضبط أقوال الخصوم الشفهية:,دون الأخذ بعين الاعتبار علاقتها بالدعوى
للمحكمة تقدير حجية الإقرار غير القضائي:,بحسب أهمية القضية المطروحة
يمكن للمحكمة أن تعتمد في تقدير حجية الإقرار غير القضائي على:,رأي النيابة العامة في موضوع الإقرار
في حالة كون الشيء المضبوط مما يتلف بمرور الزمن أو يستلزم حفظه نفقات كبيرة، فإن المحكمة تأمر بـ:,تسليمه للجهات الخيرية لتوزيعه على المحتاجين
عند طلب القاضي المكلف المداولة مع القضاة المشاركين له، فإن ذلك يكون:,بعد النطق بالحكم
ما هي الطبقة التي تحتوي على حدود المناطق العقارية حسب تصنيف المناطق العقارية بالمملكة؟,"طبقة ""المناطق الإدارية"""
أي من الطبقات التالية تتكون من خطوط أنابيب النفط وأنابيب الغاز والمياه والصرف الصحي وخطوط الأنابيب الأخرى، والعلامات التي تشير إلى موضعها، وخطوط الكهرباء والشبكات ونحوها؟,"طبقة ""النقل"""
من يقوم بالفصل في طلب الرد عند غياب رئيس المحكمة أو شغور مكانه؟,وزير العدل
ما هي الحالات التي يقوم فيها مساعد رئيس المحكمة أو المكلف بعمل الرئيس بالفصل في طلب الرد؟,عند تنحي رئيس المحكمة عن نظر القضية
لا يؤثر افتتاح إجراء التصفية في أي حسم مستحق للمدين قبل الافتتاح:,ما لم يتفق الأطراف على خلاف ذلك
ما مصير الحسم المستحق للمدين قبل افتتاح إجراء التصفية؟,يخضع لتقدير المحكمة عند افتتاح إجراء التصفية
تجرى محاكمة الحدث أمام المحكمة بحضور:,الحدث فقط
في حال تعذر حضور الحدث وولي أمره أو من يقوم مقامه لمحاكمة الحدث، فإنه يحضر:,أحد أقارب الحدث
من يحق له إصدار قرار بافتتاح إجراء التسوية الوقائية لصغار المدينين؟,المحكمة المختصة
ما الذي يجب أن يتضمنه مقترح المدين الصغير قبل إصدار قراره بافتتاح إجراء التسوية الوقائية؟,قائمة بأسماء الدائنين المضمونين فقط
بناءً على ما ورد في التعميم، فإن تعديلات نظام المحاماة تمت بموجب:,المرسوم الملكي رقم (م/38) في 28/7/1422هـ
حسب التعميم، فإن الموافقة على تعديلات نظام المحاماة تمت من قبل:,ولي العهد نائب رئيس مجلس الوزراء
متى يصدر أمر تنفيذ الأحكام الجزائية من غير الملك أو من ينيبه؟,في جميع الأحكام الجزائية دون استثناء
تحدد اللائحة آليات تسجيل الأحكام المشار إليها في:,المادتين (السادسة عشرة) و(السابعة عشرة) من النظام في السجل العقاري
لا يقبل من أي طرف أن يبدي في الجلسة التي تخلَّف فيها خصمه طلبات جديدة، أو أن يعدِّل في الطلبات المبلغ بها خصمه، إلا إذا كان:,تعديل الطلب بموافقة المحكمة فقط
يتقدم المدين بدعوى الإعسار إلى:,المحكمة التجارية
يتم تقديم دعوى الإعسار من قبل المدين وفق:,عريضة افتتاحية
يمكن للجمعيات الخيرية المعنية بتقديم الإعانات السكنية للفئات المستهدفة بخدماتها القيام بـ:,بناء الوحدات والشقق السكنية الجديدة وتوزيعها على المستفيدين
عند تحرير القرار القضائي، يجب تجنب:,ملخص المرافعة
يجري الحجز التنفيذي على العقار بموجب:,أمر قضائي
عند إجراء الحجز التنفيذي على العقار، يجب تزويد الجهة التي صدرت منها وثيقة تملك العقار بـ:,أصل وثيقة تملك العقار
يتم تسمية أمين اللجنة بـ:,قرار من رئيس اللجنة
في حالة رفع دعوى استحقاق المبيع قبل تسلمه، فإنها ترفع على:,البائع فقط
يكون التوكل عن الشركات أو الجمعيات أو المؤسسات الخاصة:,بموجب تفويض من مجلس الإدارة دون الحاجة إلى وكالة شرعية
من الذي يمنح الوكالة الشرعية للتوكل عن الشركات أو الجمعيات أو المؤسسات الخاصة؟,رئيس مجلس الإدارة بصفته الشخصية
لا يلزم المحامي إعادة سند التوكيل والمستندات والأوراق الأصلية وصور المحررات:,إذا تم إيداعها لدى كتابة الضبط
في أي حالة لا يكون المحامي ملزما بإعادة الأوراق الأصلية والمستندات لموكله؟,في حالة تسليمها للمحكمة
في حال تعذر تقديم أصل وثيقة تملك المال المشترك إلى الدائرة، فإن الدائرة:,تطلب من مقدم الطلب استخراج نسخة بدلاً عنها من الجهة المختصة
النسخة البديلة لأصل وثيقة تملك المال المشترك التي يتم استخراجها من الجهة التي صدرت منها:,لا يمكن الاعتداد بها في الإجراءات القضائية
متى تأمر المحكمة بعدم قبول الاعتراض بقرار يثبت في المحضر؟,إذا فات موعد الاعتراض فقط
ما هي المواد من اللائحة التي تحدد ما إذا كان الاعتراض غير جائز أو غير مقبول؟,المادة (العاشرة) فقط
وفقاً للمادة، من يحق له التقدم بطلب افتتاح إجراء التصفية الإدارية؟,جميع ما سبق
ماذا يجب على المدين تقديمه مع طلب افتتاح إجراء التصفية الإدارية وفقاً للمادة؟,فقط الوثائق دون المعلومات
يهدف التعميم الصادر عن الوزارة إلى:,رفع قيمة المهور للفتيات
من ضمن ما يؤكد عليه التعميم الصادر عن الوزارة:,تشجيع غلاء المهور للفتيات
تتولى وضع خطة لإجراءات الإثبات وتنفيذها بعد اعتمادها:,أطراف الدعوى
يتم تقديم الأدلة والطلبات المتعلقة بإجراءات الإثبات وتهيئتها لدى الإدارة المختصة فيما عدا:,تقديم المستندات
هل يجوز للمحامي تحصيل أتعابه من غير عميله دون موافقة العميل؟,يجوز في بعض الحالات
ما هو شكل الموافقة المطلوبة من العميل لكي يتمكن المحامي من تحصيل أتعابه من الغير؟,لا يشترط أي موافقة
يتم إبلاغ من رفض طلبه بذلك مع ذكر الأسباب:,مع توقيعه بالعلم بذلك في أي وقت لاحق
عندما يتم رفض طلب أحد الأطراف، فإنه يتم إبلاغه بـ:,لا يتم إبلاغه بالرفض مطلقاً
صكوك الاستحكام الصادرة على عقار خارج ولاية المحكمة المكانية ترفع إلى:,المحكمة الإدارية المختصة
للمحكمة أن تعتد بالدليل الناقص متى:,أيدته قرينة فقط دون الحاجة لتسبيب ذلك
وفقاً للنص، يمكن للمحكمة الاعتداد بالدليل الناقص:,مع الإخلال بأحكام النظام
يسمح لمواطني دول مجلس التعاون باستئجار وتملك العقارات في أي دولة عضو:,فقط لغرض الاستثمار
يمكن لمواطني دول مجلس التعاون تملك العقارات في الدول الأعضاء عن طريق:,لا يمكنهم تملك العقارات مطلقا
ما هو الرقم الموحد للمنشآت غير الحكومية الذي اعتمده مجلس الوزراء في قراره رقم (225) في 6/5/1439هـ؟,الرقم (5) الصادر من مركز المعلومات الوطني
ما هي المدة القصوى التي حددتها الوزارة للمحامين لتحديث بياناتهم عبر موقع ناجز؟,60 يوماً من تاريخ التعميم
لا يجوز للمحامي بنفسه أو بوساطة محام آخر أن يقبل الوكالة عن خصم موكله:,يجوز بموافقة الموكل
هل يمكن للمحامي أن يبدي معونة لخصم موكله في دعوى سبق له أن قبل الوكالة فيها؟,يجوز على سبيل الرأي فقط
وفقاً للمادة الثالثة، يستثنى من شرط الحصول على المؤهل الجامعي والتدريب من:,سبق له ممارسة القضاء في المملكة لمدة لا تقل عن خمس سنوات
في حالة كون الوحدة العقارية تابعة لإدارات متعددة، فإنه:,يتم إصدار صحيفتين عقاريتين فقط بغض النظر عن عدد الإدارات
يتعين على الأمين تزويد المحكمة بتقرير دوري عن سير إجراء التصفية:,مرة واحدة في السنة
بناء على المعلومات الواردة في النص، فإن التقرير الدوري الذي يعده الأمين عن سير إجراء التصفية:,لا يمكن الاطلاع عليه إلا بإذن من المحكمة
متى ينتهي عقد الإيجار؟,بانقضاء المدة المعينة فيه فقط
ماذا يحدث إذا استمر المستأجر في الانتفاع بالمأجور برضى المؤجر بعد انتهاء عقد الإيجار؟,لا يحدث شيء ويستمر العقد كما هو
في الدعاوى المستعجلة، إذا نقص موعد التبليغ عن 24 ساعة، فيشترط أن يحصل التبليغ:,بأي طريقة يراها المحضر مناسبة
في حال نقص موعد التبليغ في الدعاوى المستعجلة عن 24 ساعة، يجب أن يكون بإمكان الخصم:,تأجيل الجلسة لموعد لاحق
متى يستطيع متولي الرقابة التخلص من المسؤولية عن الضرر الذي أحدثه الشخص الخاضع لرقابته؟,إذا أثبت أنه لم يكن له سلطة فعلية في رقابة الشخص وتوجيهه
في حالة حصول نزاع في ملكية المنقولات الموجودة داخل العقار، فإن مأمور التنفيذ:,يُحيل النزاع إلى المحكمة المختصة دون اتخاذ أي إجراء آخر
عند حصول نزاع في ملكية المنقولات الموجودة داخل العقار، يتم تسليم هذه المنقولات إلى:,أحد أطراف النزاع
إذا كان المقر امرأة، فلا يثبت نسب الولد من زوجها الحالي أو السابق إلا:,لا يمكن إثبات نسب الولد من الزوج السابق بأي حال
يكون لرئيس كل محكمة حق الإشراف على قضاتها وحق تنبيههم إلى ما يقع منهم مخالفاً لواجباتهم أو مقتضيات وظائفهم:,بعد موافقة وزير العدل
ماذا يترتب على صدور الحكم باعتبار المفقود متوفى ثم ظهوره حياً فيما يتعلق بماله؟,يرجع المفقود بنصف ماله فقط على الورثة
ماذا يترتب على صدور الحكم باعتبار المفقود متوفى ثم ظهوره حياً فيما يتعلق بزوجته؟,يتم فسخ زواج المفقود بمجرد صدور الحكم باعتباره متوفى
وفقاً للمادة، لا تُسمع الدعوى في الحقوق الواردة في الفقرة (أ) من المادة (السادسة والتسعين بعد المائتين) والحقوق الواردة في المادة (السابعة والتسعين بعد المائتين):,بانقضاء 10 سنوات من تاريخ نشوء الحق بغض النظر عن استمرار التعامل
يجب على المؤسسات المالية قبل دخولها في علاقة مراسلة مع مؤسسات مالية خارج المملكة:,الاستمرار في العلاقة بغض النظر عن المخاطر المحتملة
ما هو الحد الأقصى للتكاليف القضائية التي يمكن فرضها على الدعوى؟,لا تزيد التكاليف القضائية عن 10% من قيمة المطالبة وبحد أقصى مليون ريال
في الأحوال غير الواردة في المادة الرابعة من هذه اللائحة، يجب أن يصدر التقرير الطبي من:,طبيب عام وآخر مختص
وفقاً للائحة، باستثناء الحالات المنصوص عليها في المادة الرابعة، فإن التقرير الطبي:,يمكن أن يوقعه طبيب واحد فقط
في حالة وجود غموض أو لبس في حكم القاضي الذي لم يعد على رأس العمل، فإن القضية ترفع إلى:,المجلس الأعلى للسلطة القضائية
يمكن للمحكمة الاستئناس برأي التجار في المنازعات بين التجار، بشرط:,لا يشترط أي مؤهلات خاصة فيمن يستأنس برأيه من التجار
من الضوابط التي حددها المشرع للاستئناس برأي التجار في المنازعات:,لا يشترط أن تكون المنازعة بين تاجرين
إذا اقتضى الأمر التأجيل للمرة الثانية فلا يتجاوز التأجيل:,مائة وعشرين يوماً
يمكن للدائرة سماع شهادة الشهود حال المعاينة:,فقط بحضور الخصم
حسب النص، متى يمكن للدائرة سماع شهادة الشهود حال المعاينة دون حضور الخصم؟,فقط في حالات الاستعجال القصوى
متى تقوم الدار بإعداد تقرير اجتماعي عن حالة الحدث؟,عندما يطلب ولي أمر الحدث ذلك
ما هي الجهة التي تقدم لها الدار التقرير الاجتماعي عن حالة الحدث؟,ولي أمر الحدث
لا يعتد باليمين التي يحلفها الخصم:,بإذن الدائرة
متى يمكن للخصم أن يحلف اليمين بشكل صحيح ومعتد به قانونا؟,في أي وقت يشاء الخصم
في حالة عدم تقدير التعويض في العقد أو بنص نظامي، فإن المحكمة تقدره وفقاً لأحكام:,المواد (الثلاثين بعد المائة) و(الحادية والثلاثين بعد المائة) و(الثانية والثلاثين بعد المائة) من هذا النظام
يجوز أن يكون الحق الوارد في الإشعار بطلب الوفاء:,غير مرتبط بما هو مطلوب في طلب إصدار أمر الأداء
حسب التعميم، لا يعتبر نزع ملكية العقار لصالح الشركات:,للمصلحة الخاصة
عند نزع ملكية عقار لصالح الشركات، يتم تعويض المالك:,بما رضيه المالك
يجوز للمحكمة الاستناد إلى تقرير خبير مقدم في دعوى أخرى عوضاً عن الاستعانة بخبير في الدعوى:,مع منع الخصوم من مناقشة ما ورد في ذلك التقرير
متى تنتهي السنة المالية الأولى للصندوق؟,بنهاية السنة المالية التي بدأ فيها نفاذ التنظيم
يُعتبر عقد الإيجار من العقود:,الفورية
يرد عقد الإيجار على:,جميع الأجوبة صحيحة
حدد الجواب أو الأجوبة الصحيحة فيما يتعلق بالطلبات الجديدة في الاستئناف:,تقبل الطلبات الجديدة في الاستئناف بشرط موافقة المحكمة
في حال لم تعين مدة منع المتصرف إليه من التصرف، فإن تحديد هذه المدة يكون من اختصاص:,الاتفاق بين المتصرف والمتصرف إليه
يحق للخبير الاحتفاظ بما يلي من تقريره:,النسخة الأصلية من التقرير فقط
وفقاً للنظام واللائحة، يمكن أن يتم الإشعار من خلال:,الإشعار عبر كتاب مسجل فقط
أي من الطرق التالية لا تعتبر طريقة صحيحة للإشعار وفقاً للنظام واللائحة؟,الإشعار عبر البريد الإلكتروني المسجل في السجل العقاري
من الجهة المسؤولة عن إعداد إجراءات العمل والنماذج اللازمة لإنفاذ الأدلة؟,وزارة العدل
من الجهة المختصة باقتراح ما يلزم لتنفيذ نظام الإسكان من لوائح؟,وزير المالية
تصدر اللوائح اللازمة لتنفيذ نظام الإسكان بقرار من:,المجلس الأعلى للقضاء
في حالة إبطال العقد أو بطلانه لنقص أهلية المتعاقد أو انعدامها، يلزم المتعاقد برد:,نصف ما تلقاه من الطرف الآخر
في حالة إبطال العقد أو بطلانه بسبب نقص أهلية أحد المتعاقدين أو انعدامها:,لا يترتب أي التزام على المتعاقد ناقص الأهلية
تنشأ في وزارة العدل وحدة مختصة بشؤون الخبرة، تتولى:,الإشراف على تنفيذ الأحكام القضائية
حسب النص، فإن الوحدة المختصة بشؤون الخبرة تنشأ في:,المجلس الأعلى للسلطة القضائية
ما المقصود بالأعمال الجديدة في دعوى منع التعرض؟,ما شرع المدعي في القيام به في ملكه ومن شأنه الإضرار بالمدعى عليه
في دعوى منع التعرض، يجب أن تكون الأعمال الجديدة التي يقوم بها المدعى عليه:,في ملك المدعي ومن شأنها الإضرار بالمدعي
في حالة عدم تحديد أجر المقاول في العقد:,يستحق المقاول نصف أجر المثل عما عمل فقط دون قيمة المواد
ما الذي يشمله استحقاق المقاول في حالة عدم تحديد الأجر في العقد؟,قيمة المواد التي قدمها فقط
عندما تقيم الدائرة نائبا عن المعترض في تقديم الاعتراض الطويل، فإنه يجب:,عدم تدوين ذلك في أي ضبط
وفقًا للنص، فإن المحكمة المختصة يجب عليها إبعاث طلب التأشير بحصول الدعوى إلى إدارة التسجيل العقاري والتوثيق:,في أي وقت تراه مناسبًا
إذا تخارج أحد الورثة مع آخر منهم:,يقسم نصيبه على باقي الورثة بقدر سهامهم في التركة
ما هو المقصود بالنظام في هذا السياق؟,نظام المحاكم العامة
من هو المسؤول عن إصدار اللائحة التنفيذية لنظام المحاكم التجارية؟,مجلس الوزراء
في حالة تغيير تشكيل الدائرة الناظرة في الدعوى، فإن الدائرة الجديدة:,تؤجل الدعوى لحين اكتمال تشكيل الدائرة السابقة
يشترط في العقار المرهون أن يكون:,محتمل الوجود فقط دون اشتراط كونه معينًا
لصحة رهن العقار يجب أن يكون:,غير معلوم تفاصيله ولا يشترط بيانه في عقد الرهن
في حال كان للخصم محامي، فإنه لا يجوز للمحامي التواصل مع:,خصم العميل الذي يمثله محام مباشرة دون الرجوع لمحاميه
إذا طلب محامي الخصم من المحامي إيصال رسالة أو معلومة للعميل، فإنه يجب على المحامي:,إيصال الرسالة أو المعلومة لمحامي العميل بدلاً من العميل نفسه
في حالة عدم وجود حساب بنكي للمنفذ ضده ووجود أموال له لدى جهة أو شخص، فإن الدائرة:,تأمر المنفذ ضده بفتح حساب بنكي لإيداع الأموال المستحقة عليه
حدد الجواب أو الأجوبة الصحيحة:,يعد طلبًا جديدًا في الاستئناف طلب الإجراءات التحفظية والوقتية التي تهدف إلى حماية الطلب الأصلي
ما هو واجب المحامي في تعامله مع العملاء وغيرهم؟,لا يلتزم المحامي بأي واجبات تجاه عملائه
ما هو الطريق الثالث الذي ذكره ابن القيم في كتابه الطرق الحكمية؟,أن يحكم بالبينة دون النظر لليد
للمحكمة الحق في تولية الأب على أولاده:,صحيح فقط فيما يخص النكاح
يمكن للمحكمة رفع ولاية الأب عن أولاده:,خطأ، لا يمكن رفع ولاية الأب مطلقاً
ما الوقت المعتبر لتحديد كون الموصى له وارثا من عدمه؟,وقت كتابة الوصية
ينعقد المجلس الأعلى للقضاء برئاسة رئيسه:,مرة واحدة في السنة
في حالة غياب رئيس المجلس الأعلى للقضاء، من يحل محله؟,أقدم أعضاء المجلس
ما هي الجهة المسؤولة عن إنشاء الشبكة الإلكترونية لخدمات الإيجار؟,وزارة العدل
ما هي صفة المستأجر في عقود الإيجار المسجلة في الشبكة الإلكترونية لخدمات الإيجار؟,لا يكتسب المستأجر أي صفة إضافية بتسجيل عقد الإيجار في الشبكة الإلكترونية
كم يوماً على الأقل يجب على المدعى عليه إيداع مذكرة دفاعه قبل الجلسة المحددة لنظر الدعوى أمام المحاكم الأخرى غير المحكمة العامة؟,بأسبوع على الأقل
وفقاً للفقرة (1/أ) من المادة (الحادية والأربعين) من النظام، يشترط لقبول ترخيص مزاولة المهنة وفق أحكام أي نظام أجنبي آخر:,أن تكون معايير الترخيص فيه مساوية للمعايير المشترطة لمزاولة المهنة في المملكة
بعد استلام رئيس الإدارة العامة للتحقيق والإدعاء القضائي لمحضر التحقيق ومرافقاته وتقرير التحقيق، يقوم بـ:,إعادتها للمحقق لاستكمال التحقيق
ما هو المقصود بالنظام في هذه اللائحة؟,نظام التنفيذ
من هو المسؤول عن إصدار اللائحة التنفيذية لنظام المحاكم التجارية؟,المجلس الأعلى للقضاء
لا يجوز للموثق الشرعي المختص تسجيل أي إقرار بالتنازل عن الجنسية الأجنبية للحصول على الجنسية السعودية إلا:,إذا كان مقدم الطلب مقيما في المملكة لمدة لا تقل عن 5 سنوات
في حال اقتضى الأمر تأجيل النطق بالحكم، فإن المحكمة:,لا تعلن ذلك في الجلسة وتحدد موعداً آخر فقط
في عقد المزارعة، متى يستحق كل متعاقد نصيبه من الناتج؟,بحصاد الناتج أو جذاذه
إذا انقضت مدة عقد المزارعة بعد ظهور الناتج وقبل بلوغ الحصاد أو الجذاذ، فما هي خيارات العامل؟,يترك العمل ويأخذ نصيبه كاملاً
يمكن للخصوم الاعتراض على الخبير المعين من طرف قاضي التحقيق:,في أي وقت خلال مسطرة التحقيق
يقدم الخصوم اعتراضهم على الخبير المعين من طرف قاضي التحقيق:,إلى الخبير نفسه
حتى تتحقق الفضالة، يجب أن يتولى الفضولي القيام بالشأن العاجل:,بموجب اتفاق مسبق مع صاحب الشأن
يكتفي بالترخيص السابق في تحقق شرط توافر الخبرة في طبيعة العمل للمرخص له:,خطأ
حسب النص، فإن الترخيص السابق للمرخص له:,يتطلب خبرة إضافية في مجال آخر
متى ينتقل الحجز التحفظي من المنقول أو الثمار المحجوزة تحفظياً إلى الأجرة؟,إذا ثبت أن المنقول أو الثمار المحجوزة تحفظياً مملوكة للمؤجر
وفقاً للائحة، يكون الاختصاص المكاني للتنفيذ على السجين:,وفقاً لما ورد في الفقرة (2/77) من اللائحة فقط
بعد النطق بالحكم، يجب على المحكمة إفهام الخصوم:,بأن الحكم نهائي ولا يقبل الاعتراض
إذا صدر الحكم في غير مصلحة من ينوب عنهم الأولياء والأوصياء والنظار وممثلو الأجهزة الحكومية أو بأقل مما طلبوا، فيجب على المحكمة إفهامهم:,بأن الحكم نهائي ولا يمكن الطعن فيه
أي مما يلي لا يُعتبر من مكونات صحيفة الدعوى التأديبية؟,الطلب المقدم بشأن المخالفة
لا يجوز الحجز والتنفيذ على:,الأموال المملوكة للدولة فقط
تعتبر جمعية المجمع ممثلة للملاك فيما يخص:,التصرفات التي تنشأ على الأجزاء الخاصة في المجمع العقاري
وفقا للنص، فإن جمعية المجمع:,لا تمثل الملاك في أي تصرفات تتعلق بالمجمع العقاري
يكون الإقرار قضائياً إذا:,اعترف الخصم بواقعة مدعى بها عليه خارج المحكمة
من يتولى اختصاصات رئيس المجلس الأعلى للقضاء المنصوص عليها في آلية العمل التنفيذية إلى حين تشكيل المجلس الأعلى للقضاء؟,وزير العدل
يحق لكل ذي مصلحة الاعتراض أمام المحكمة على أي تصرف أجراه المدين خلال الفترة السابقة لافتتاح الإجراء مع طرف غير ذي علاقة لمدة:,أربعة وعشرين شهراً
يكون الحجر الوارد في الفقرة (د) من المادة المذكورة:,بقرار من وزير العدل
وفقا للفقرة (د) من المادة المذكورة، يتم الحجر على الشخص:,بموجب قرار من الشرطة
إذا تبين للمحقق وجود تحقيق سابق في موضوع التحقيق ولم يستكمل، ورأى المحقق سلامة إجراءات التحقيق السابق، فإنه:,يحيل الملف إلى جهة قضائية أخرى للبت فيه
من الشروط التي يجب توفرها لكي يستكمل المحقق التحقيق السابق الذي لم يكتمل:,أن يوافق القا
يدون الحكم الصادر بالتفسير على:,محضر الجلسة
يعتبر التفسير الصادر عن المحكمة:,حكماً مستقلاً عن الحكم الأصلي
ما هو حكم تصرفات الصغير غير المميز؟,نافذة
إذا أبرم الصغير غير المميز عقدا، فإن هذا العقد يكون:,قابلا للإبطال
تعتبر الورقة رسمية إذا:,دونها شخص مكلف بخدمة عامة فقط دون اشتراط أي شروط أخرى
تعتبر الورقة عادية إذا كان عليها:,توقيع من صدرت منه فقط
يتم التحقق من القصد أو العلم أو الغرض في ارتكاب جريمة إرهابية أو جريمة تمويل إرهاب من خلال:,شهادة الشهود على نية المتهم
للقاضي الأمر بتفتيش المدين أو مركبته لإجراء الحجز على:,الأموال المستقبلية
لمأمور التنفيذ الاستعانة بالشرطة أو القوة المختصة عند:,طلب الدائن
من الجهة المختصة بإصدار قرار إنشاء الوحدة؟,مجلس الوزراء
وفقًا للنص، يجوز تدوين بيانات صحف الدعاوى والتبليغات ومحاضر الدعاوى والإنهاءات وغير ذلك:,شفهيًا
حسب النص، للمحررات الإلكترونية نفس حكم:,المحررات المسجلة صوتيًا
تدعو المحكمة الخبير وتبين له مهمته خلال:,الأيام السبعة التالية لإيداع المبلغ
للخبير أن يطلع على الأوراق المودعة في ملف الدعوى:,ويمكنه نقل ما يشاء منها دون إذن المحكمة
للمشترط دون دائنيه أو ورثته أن ينقض الاشتراط، أو أن يُحل منتفعاً آخر محل الأول، أو أن يحول المنفعة لنفسه، ما لم:,يتفق المشترط والمنتفع على ذلك كتابةً
لا يترتب على نقض الاشتراط براءة ذمة المتعهد تجاه المشترط إلا إذا:,أعلم المتعهد المشترط برغبته في نقض الاشتراط
يجب على المؤسسات المالية والأعمال والمهن غير المالية المحددة الاحتفاظ بجميع السجلات والمستندات والوثائق والبيانات لجميع التعاملات المالية والصفقات التجارية والنقدية لمدة لا تقل عن:,سبع سنوات من تاريخ انتهاء العملية أو قفل الحساب
ما هي الجريدة التي ينشر فيها النظام؟,جريدة الرياض
يمكن للدائن أن يحيل حقه إلى شخص آخر:,بشرط موافقة المدين على الحوالة
لانعقاد حوالة الحق من الدائن إلى شخص آخر:,يجب الحصول على موافقة المدين الخطية
وفقاً للتعميم، يمكن تحديث الصك المرهون لصالح صندوق التنمية العقارية:,بعد فك الرهن لصالح الصندوق
بناءً على التعميم، جاء طلب وزير الشؤون البلدية والقروية والإسكان بصفته:,ممثل عن الجهة المختصة بتحديث الصكوك العقارية
يتولى الصندوق صرف النفقة لمن صدر له:,أمر قضائي بها ولا تزال مطالبته بها غير منظورة أمام المحكمة
في حال حكم برفض النفقة المؤقتة التي صرفها الصندوق للمستفيد، فيجب على المستفيد ردها للصندوق خلال:,ستة أشهر من تاريخ اكتساب الحكم القطعية
ما هو المقصود بالتعدي والمقاومة حسب ما ورد في النظام؟,ما ورد في الفقرة (1/أ) من المادة (الثامنة والثمانين) من النظام
أين ورد تعريف التعدي والمقاومة في النظام؟,في الفقرة (2/ج) من المادة (الثامنة والثمانين)
ما هي الطريقة التي تثبت بها الشهادة؟,تثبت الشهادة بالصيغة التي تراها المحكمة مناسبة
ما الذي يمكن للمحكمة أن تقتصر عليه من الشهادة؟,يمكن للمحكمة أن تقتصر من الشهادة على ما يتعلق بظروف القضية
ما هي النسبة التي يجب على المكتب المرخص له ترخيصًا مؤقتًا إسنادها من أعمال المشروع ذات الطبيعة النظامية إلى سعودي مرخص له بمزاولة المهنة؟,لا يقل عن 20% من أعمال المشروع ذات الطبيعة النظامية
في عقد المشاركة في الناتج، يسلم رب المال شيئاً:,قابل للاستهلاك
في عقد المشاركة في الناتج، يحصل رب المال مقابل تسليم الشيء على:,فوائد دورية
إذا وفى المدين في مرض موته بعض دائنيه ولم تف تركته بديون الباقين، فإنه:,يحق للدائنين الذين لم يستوفوا ديونهم الرجوع على من استوفوا ديونهم ولكن دون مشاركتهم فيما أخذوا
إذا ترك المصفي التصفية من تلقاء نفسه دون موافقة الدائرة، فإن الدائرة:,تتولى التصفية بنفسها
في حالة عدم وجود نص خاص في نظام المحكمة التجارية، فإنه يتم تطبيق:,أحكام نظام المرافعات الجزائية بما لا يخالف طبيعة الدعوى التجارية
ما هو الأثر المترتب على عدم تقدم الدائن بمطالبته بالدين وفق إجراءات التصفية للمدين؟,لا يترتب أي أثر على حقه في الرجوع على الكفيل
في حالة انتقال الحق من شخص إلى خلفه، فإن المدة المقررة لعدم سماع الدعوى:,تتوقف مؤقتا
إذا انتقل الحق من شخص إلى ورثته، فإن مدة التقادم المسقط للدعوى:,تتوقف حتى تسوية التركة
ما هو الشرط الأساسي لإنقاص موعد التبليغ؟,لا يوجد شرط محدد لإنقاص موعد التبليغ
يجب أن يتضمن محضر التفتيش اسم من أجرى التفتيش ووظيفته وتوقيعه و:,رقم هوية من أجرى التفتيش
متى يصدر المحقق أمراً بحجز الأشياء المضبوطة أثناء التحقيق؟,إذا كانت ستستخدم كأدلة في المحاكمة
ما مصير الأشياء التي يتم ضبطها أثناء التحقيق وفقاً للسياق المذكور؟,يتم الاحتفاظ بها لحين انتهاء المحاكمة
وفقاً للنص، لا يجوز نزع ملكية أحد إلا:,في حالات الضرورة القصوى
يمكن استنتاج من النص أن الأصل في الملكية هو:,خضوعها لسلطة الدولة المطلقة
ما مدى إلزامية قرار رئيس المحكمة في تحديد الدائرة المختصة بنظر القضية داخل المحكمة ذاتها؟,يمكن للدائرة التي أحيلت إليها القضية الاعتراض على قرار رئيس المحكمة
ما هو تعريف عقد الهبة؟,عقد يُملِّكُ بمقتضاه الواهبُ بعد وفاته الموهوب له مالاً دون عوض
متى ينقل الواهب الملكية للموهوب له في عقد الهبة؟,بعد وفاة الموهوب له
